Sample Name, AUS25x23_34G
Freq, 34, GHz, Power, 10, dBm
SR850: f = 25 Hz; phase = 96 deg; output = 5 V; sens. = 50 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
2.140000E-5,-6.868000E+2,5.457590E-7,6.891830E-8,5.500933E-7,7.197200E+0,
1.043335E-1,-6.862000E+2,6.035010E-7,4.284110E-8,6.050197E-7,4.060480E+0,
3.042063E-1,-6.863000E+2,5.625220E-7,1.154840E-7,5.742539E-7,1.160145E+1,
5.036516E-1,-6.856000E+2,6.184020E-7,1.676390E-8,6.186292E-7,1.552818E+0,
7.041176E-1,-6.707000E+2,4.917420E-7,2.980250E-8,4.926443E-7,3.468224E+0,
9.046157E-1,-6.618000E+2,5.010550E-7,-3.166520E-8,5.020546E-7,-3.616116E+0,
1.104046E+0,-6.504000E+2,4.544870E-7,-3.725310E-8,4.560112E-7,-4.685908E+0,
1.303576E+0,-6.166000E+2,4.582130E-7,-6.333040E-8,4.625688E-7,-7.869094E+0,
1.504958E+0,-6.032000E+2,5.625220E-7,-1.080340E-7,5.728022E-7,-1.087145E+1,
1.704439E+0,-5.718000E+2,6.128140E-7,-4.842900E-8,6.147246E-7,-4.518537E+0,
1.903872E+0,-5.576000E+2,5.848740E-7,-1.862660E-9,5.848770E-7,-1.824704E-1,
2.104363E+0,-5.262000E+2,6.556550E-7,-8.009420E-8,6.605290E-7,-6.964691E+0,
2.304789E+0,-5.124000E+2,6.705560E-7,-6.705570E-8,6.739004E-7,-5.710602E+0,
2.504293E+0,-4.834000E+2,8.232930E-7,-7.450630E-8,8.266575E-7,-5.171063E+0,
2.703720E+0,-4.705000E+2,8.679960E-7,-1.173470E-7,8.758923E-7,-7.699309E+0,
2.904206E+0,-4.541000E+2,8.065290E-7,-5.215430E-8,8.082135E-7,-3.699888E+0,
3.104707E+0,-4.311000E+2,9.220130E-7,-1.285230E-7,9.309276E-7,-7.935549E+0,
3.104707E+0,-4.311000E+2,9.220130E-7,-1.285230E-7,8.878450E-7,-3.006474E+0,
3.504595E+0,-3.996000E+2,1.011420E-6,5.401690E-8,1.012861E-6,3.057091E+0,
3.705093E+0,-3.888000E+2,1.022600E-6,1.303860E-8,1.022683E-6,7.305068E-1,
3.904516E+0,-3.715000E+2,1.121320E-6,-6.146770E-8,1.123003E-6,-3.137658E+0,
3.904516E+0,-3.715000E+2,1.121320E-6,-6.146770E-8,1.043198E-6,-4.916571E+0,
4.304449E+0,-3.414000E+2,1.210730E-6,-1.434250E-7,1.219196E-6,-6.755865E+0,
4.503933E+0,-3.313000E+2,1.313170E-6,-3.352780E-8,1.313598E-6,-1.462556E+0,
4.703421E+0,-3.230000E+2,1.406300E-6,1.136220E-7,1.410883E-6,4.619179E+0,
4.903925E+0,-3.024000E+2,1.378360E-6,3.632180E-7,1.425413E-6,1.476268E+1,
5.103301E+0,-2.934000E+2,1.272190E-6,5.327200E-7,1.379224E-6,2.272113E+1,
5.304858E+0,-2.722000E+2,1.044950E-6,6.370280E-7,1.223816E-6,3.136754E+1,
5.503277E+0,-2.626000E+2,9.592700E-7,6.016380E-7,1.132328E-6,3.209525E+1,
5.704710E+0,-2.418000E+2,1.085930E-6,4.321350E-7,1.168753E-6,2.169959E+1,
5.903155E+0,-2.317000E+2,1.076620E-6,4.451740E-7,1.165028E-6,2.246471E+1,
5.903155E+0,-2.317000E+2,1.076620E-6,4.451740E-7,1.084241E-6,1.432272E+1,
6.104634E+0,-2.114000E+2,1.050540E-6,2.682230E-7,9.473456E-7,1.422752E+1,
6.503616E+0,-1.783000E+2,6.239900E-7,1.452870E-7,6.406808E-7,1.310697E+1,
6.503616E+0,-1.783000E+2,6.239900E-7,1.452870E-7,5.150950E-7,1.509152E+1,
6.704071E+0,-1.686000E+2,4.973300E-7,1.341110E-7,4.265641E-7,2.757205E+1,
7.104924E+0,-1.364000E+2,4.787030E-7,8.381950E-8,4.859859E-7,9.931643E+0,
7.104924E+0,-1.364000E+2,4.787030E-7,8.381950E-8,4.188696E-7,1.521048E+1,
7.504893E+0,-1.039000E+2,4.861540E-7,-1.546000E-7,5.101440E-7,-1.764099E+1,
7.704375E+0,-9.350000E+1,5.178190E-7,-6.705570E-8,5.221427E-7,-7.378536E+0,
7.903869E+0,-8.300000E+1,6.128140E-7,8.568210E-8,6.187749E-7,7.959353E+0,
8.104285E+0,-6.120000E+1,6.184020E-7,3.613550E-7,7.162391E-7,3.029931E+1,
8.304721E+0,-5.010000E+1,6.593800E-7,3.110640E-7,7.290698E-7,2.525570E+1,
8.503272E+0,-2.890000E+1,6.333030E-7,6.891830E-8,6.370419E-7,6.210692E+0,
8.704693E+0,-1.770000E+1,6.128140E-7,-4.656640E-8,6.145807E-7,-4.345431E+0,
8.904180E+0,-5.000000E+0,6.184020E-7,-5.029160E-8,6.204436E-7,-4.649353E+0,
9.103677E+0,1.530000E+1,4.973300E-7,-1.583260E-7,5.219236E-7,-1.765898E+1,
9.305105E+0,2.480000E+1,4.116460E-7,-2.086170E-7,4.614905E-7,-2.687532E+1,
9.503590E+0,4.490000E+1,2.607710E-8,-1.490130E-7,1.512775E-7,-8.007382E+1,
9.704022E+0,5.490000E+1,2.793980E-8,-1.173470E-7,1.206273E-7,-7.660749E+1,
9.904490E+0,7.520000E+1,-2.924370E-7,7.823160E-8,3.027203E-7,1.650232E+2,
1.010398E+1,8.470000E+1,-3.408660E-7,7.264360E-8,3.485208E-7,1.679694E+2,
1.030346E+1,1.056000E+2,-6.146770E-7,1.285230E-7,6.279697E-7,1.681902E+2,
1.050390E+1,1.146000E+2,-5.159560E-7,1.117590E-7,5.279211E-7,1.677782E+2,
1.070434E+1,1.268000E+2,-3.408660E-7,-7.450630E-8,3.489138E-7,-1.676702E+2,
1.070434E+1,1.268000E+2,-3.408660E-7,-7.450630E-8,3.956723E-7,-1.713358E+2,
1.110331E+1,1.570000E+2,-4.135090E-7,-7.078100E-8,4.195231E-7,-1.702867E+2,
1.130477E+1,1.776000E+2,-3.986080E-7,-2.216560E-7,4.560918E-7,-1.509227E+2,
1.150328E+1,1.903000E+2,-4.451740E-7,-2.775360E-7,5.246009E-7,-1.480592E+2,
1.170478E+1,2.105000E+2,-4.451740E-7,-3.408660E-7,5.606867E-7,-1.425590E+2,
1.190420E+1,2.208000E+2,-5.699730E-7,-2.551840E-7,6.244903E-7,-1.558813E+2,
1.210356E+1,2.407000E+2,-6.686930E-7,-3.036130E-7,7.343917E-7,-1.555801E+2,
1.230509E+1,2.504000E+2,-7.301610E-7,-3.613550E-7,8.146855E-7,-1.536693E+2,
1.230509E+1,2.504000E+2,-7.301610E-7,-3.613550E-7,8.529454E-7,-1.467611E+2,
1.270503E+1,2.813000E+2,-7.096710E-7,-4.582130E-7,8.447438E-7,-1.471509E+2,
1.290346E+1,2.950000E+2,-6.202640E-7,-4.731140E-7,7.801053E-7,-1.426650E+2,
1.310399E+1,3.146000E+2,-8.065290E-7,-3.948830E-7,8.980098E-7,-1.539133E+2,
1.330336E+1,3.253000E+2,-8.828970E-7,-4.526250E-7,9.921575E-7,-1.528577E+2,
1.350484E+1,3.454000E+2,-1.190240E-6,-2.458710E-7,1.215370E-6,-1.683284E+2,
1.370333E+1,3.555000E+2,-1.205140E-6,-2.048920E-7,1.222433E-6,-1.703511E+2,
1.390378E+1,3.649000E+2,-1.210730E-6,-5.401690E-8,1.211934E-6,-1.774454E+2,
1.410329E+1,3.912000E+2,-1.154850E-6,3.539050E-8,1.155392E-6,1.782447E+2,
1.410329E+1,3.912000E+2,-1.154850E-6,3.539050E-8,1.031810E-6,1.731572E+2,
1.450423E+1,4.105000E+2,-9.201500E-7,2.123420E-7,9.443332E-7,1.670054E+2,
1.470368E+1,4.341000E+2,-9.015240E-7,9.127010E-8,9.061323E-7,1.742191E+2,
1.490412E+1,4.439000E+2,-9.518150E-7,3.911580E-8,9.526184E-7,1.776467E+2,
1.510458E+1,4.675000E+2,-9.797590E-7,-5.215430E-8,9.811462E-7,-1.769529E+2,
1.530403E+1,4.766000E+2,-9.201500E-7,-1.955790E-7,9.407057E-7,-1.680003E+2,
1.550453E+1,4.976000E+2,-1.026320E-6,-1.452870E-7,1.036552E-6,-1.719427E+2,
